from_x,from_y,to_x,to_y,param1,param2,param3
-37,-1,-49,7,16,5,4
-50,7,-37,-4,1,0,4
-36,2,-49,6,16,7,4
-50,6,-37,-1,1,0,4
-34,5,-49,5,16,34,4
-50,5,-36,2,1,0,4
-31,8,-49,4,16,10,4
-50,4,-34,5,1,0,4
-27,11,-49,3,16,0,4
-50,3,-31,8,1,0,4
-22,14,-49,2,16,0,4
-50,2,-27,11,1,0,4
-16,17,-49,1,16,0,4
-50,1,-22,14,1,0,4
-10,19,-49,0,16,0,4
-50,0,-16,17,1,0,4
-4,20,-49,-1,16,0,4
-50,-1,-10,19,1,0,4
2,20,-49,-2,16,0,4
-50,-2,-4,20,1,0,4
8,19,-49,-3,16,0,4
-50,-3,2,20,1,0,4
14,17,-49,-4,16,0,4
-50,-4,8,19,1,0,4
20,14,-49,-5,16,0,4
-50,-5,14,17,1,0,4
25,11,-49,-6,16,0,4
-50,-6,20,14,1,0,4
29,8,-49,-7,16,0,4
-50,-7,25,11,1,0,4
32,5,-49,-8,16,0,4
-50,-8,29,8,1,0,4
34,2,-49,-9,16,0,4
-50,-9,32,5,1,0,4
35,-1,-49,-10,16,0,4
-50,-10,34,2,1,0,4
35,-4,-49,-11,16,0,4
-50,-11,35,-1,1,0,4
34,-7,-49,-12,16,0,4
-50,-12,35,-4,1,0,4
32,-10,-49,-13,16,0,4
-50,-13,34,-7,1,0,4
29,-13,-49,-14,16,0,4
-50,-14,32,-10,1,0,4
25,-16,-49,-15,16,0,4
-50,-15,29,-13,1,0,4
20,-19,-49,-16,16,0,4
-50,-16,25,-16,1,0,4
14,-22,-49,-17,16,0,4
-50,-17,20,-19,1,0,4
8,-24,-49,-18,16,0,4
-50,-18,14,-22,1,0,4
2,-25,-49,-19,16,0,4
-50,-19,8,-24,1,0,4
-4,-25,-49,-20,16,0,4
-50,-20,2,-25,1,0,4
-10,-24,-49,-21,16,3,4
-50,-21,-4,-25,1,0,4
-16,-22,-49,-22,16,16,4
-50,-22,-10,-24,1,0,4
-22,-19,-49,-23,16,8,4
-50,-23,-16,-22,1,0,4
-27,-16,-49,-24,16,0,4
-50,-24,-22,-19,1,0,4
-31,-13,-49,-25,16,0,4
-50,-25,-27,-16,1,0,4
-34,-10,-49,-26,16,27,4
-50,-26,-31,-13,1,0,4
-36,-7,-49,-27,16,0,4
-50,-27,-34,-10,1,0,4
-37,-4,-49,-28,16,0,4
-50,-28,-36,-7,1,0,4
-37,-1,-49,-29,16,0,4
-50,-29,-37,-4,1,0,4
-36,2,-49,-30,16,0,4
-50,-30,-37,-1,1,0,4
-34,5,-49,-31,16,0,4
-50,-31,-36,2,1,0,4
-31,8,-49,-32,16,0,4
-50,-32,-34,5,1,0,4
47,-16,-47,16,16,0,4
45,-16,-47,16,16,0,4
42,-17,-47,16,8,0,4
38,-18,-47,16,16,0,4
32,-19,-47,16,8,0,4
24,-20,-47,16,8,0,4
15,-21,-47,16,16,0,4
6,-21,-47,16,16,0,4
-3,-20,-47,16,16,0,4
-12,-18,-47,16,58,131,4
-36,-9,-47,16,6,0,4
-42,-6,-47,16,16,6,4
-47,-3,-47,16,58,156,4
-56,6,-47,16,58,131,4
-57,16,-47,16,52,147,4
-47,32,-47,16,58,159,4
-24,45,-47,16,6,0,4
-18,46,-47,16,58,134,4
0,43,-47,16,6,0,4
6,40,-47,16,16,0,4
12,36,-47,16,16,0,4
18,31,-47,16,16,0,4
24,25,-47,16,16,0,4
30,18,-47,16,16,0,4
35,12,-47,16,8,0,4
39,7,-47,16,8,0,4
42,3,-47,16,8,0,4
44,0,-47,16,8,0,4
45,-3,-47,16,16,0,4
45,-6,-47,16,16,0,4
44,-9,-47,16,16,0,4
42,-12,-47,16,16,0,4
39,-15,-47,16,16,0,4
35,-18,-47,16,16,0,4
30,-21,-47,16,16,0,4
24,-24,-47,16,16,0,4
17,-26,-47,16,16,0,4
10,-27,-47,16,16,0,4
3,-27,-47,16,16,0,4
-4,-26,-47,16,58,124,4
-25,-17,-47,16,6,0,4
-31,-13,-47,16,16,0,4
-36,-9,-47,16,16,0,4
-40,-5,-47,16,16,0,4
-43,-1,-47,16,16,10,4
-45,3,-47,16,16,22,4
-47,6,-47,16,58,165,4
